genericName,SynNames
Olanzapine,"2-methyl-4-(4-methyl-1-piperazinyl)-10H-thieno[2,3-b][1,5]benzodiazepine "
Atenolol,1-p-Carbamoylmethylphenoxy-3-isopropylamino-2-propanol 
Nitrofural,5-Nitro-2-furaldehyde semicarbazone 
Pimecrolimus,33-Epi-chloro-33-desoxyascomycin 
Omeprazole,OMEP 
Pyrazinamide,2-carbamylpyrazine 
Metixene,Methixen 
Cetirizine,Cetirizin 
Terfenadine,(RS)-1-(4-tert-butylphenyl)-4-{4-[hydroxy(diphenyl)methyl]piperidin-1-yl}-butan-1-ol 
Diltiazem,"(+)-cis-5-[2-(dimethylamino)ethyl]-2,3-dihydro-3-hydroxy-2-(p-methoxyphenyl)-1,5-benzothiazepin-4(5H)-one acetate ester "
Protriptyline,"3-(5H-dibenzo[a,d][7]annulen-5-yl)-N-methylpropan-1-amine "
Aminohippuric acid,4-aminohippuric acid 
Alfuzosin,"(±)-N-[3-[(4-amino-6,7-dimethoxy-2-quinazolinyl)methylamino]propyl]tetrahydro-2-furamide "
Trimethadione,Trimetadiona 
Nitisinone,"2-(alpha,alpha,alpha-Trifluoro-2-nitro-p-tuluoyl)-1,3-cyclohexanedione "
Clobazam,"1-phenyl-5-methyl-8-chloro-1,2,4,5-tetrahydro-2,4-dioxo-3H-1,5-benzodiazepine "
Minoxidil,"2,4-Diamino-6-piperidinopyrimidine 3-oxide "
Megestrol acetate,"17-Acetoxy-6-methylpregna-4,6-diene-3,20-dione "
Tioguanine,2-Amino 6MP 
Methylergometrine,"9,10-Didehydro-N-[1-(hydroxymethyl)-propyl]-D-lysergamide "
Buclizine,1-(p-tert-Butylbenzyl)-4-(4-chloro-alpha-phenylbenzyl)piperazine 
Aztreonam,"(Z,)-2-((((2-Amino-4-thiazolyl)(((2S,3S,)-2-methyl-4-oxo-1-sulfo-3-azetidinyl)carbamoyl)methylene)amino)oxy)-2-methylpropionic acid "
Chlorzoxazone,2-hydroxy-5-chlorobenzoxazole 
Aminoglutethimide,2-(p-Aminophenyl)-2-ethylglutarimide 
Mefloquine,"[(R*,S*)-2,8-bis(trifluoromethyl)quinolin-4-yl]-(2-piperidyl)methanol "
Sulfadiazine,2-sulfanilamidopyrimidine 
Sapropterin,"(−)-(6R)-2-amino-6-((1R,2S)-1,2-dihydroxypropyl)-5,6,7,8-tetrahydro-4(3H)-pteridinone "
Vinorelbine,5'-Noranhydrovinblastine 
Anidulafungin,Anidulafungin 
Clozapine,Clozapin 
Sucralfate,"Hexadeca-μ-hydroxytetracosahydroxy[μ8-[1,3,4,6-tetra-O-sulfo-β-Dfructofuranosyl-α-D-glucopyranoside tetrakis(hydrogen sulfato)8-)]]hexadecaaluminum "
Grepafloxacin,Grepafloxacin
Doxylamine,2-(alpha-(2-(Dimethylamino)ethoxy)-alpha-methylbenzyl)pyridine 
Levonorgestrel,"(-)-13-Ethyl-17-hydroxy-18,19-dinor-17alpha-pregn-4-en-20-yn-3-one "
Norepinephrine,(−)-arterenol 
Cidofovir,"({[(S)-1-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3-hydroxypropan-2-yl]oxy}methyl)phosphonic acid "
Mirtazapine,"1,2,3,4,10,14b-Hexahydro-2-methylpyrazino(2,1-a)pyrido(2,3-c)benzazepine "
Meprobamate,Meprobamat 
Thiethylperazine,2-(ethylthio)-10-[3-(4-methylpiperazin-1-yl)propyl]-10H-phenothiazine 
Timolol,"(S)-1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol "
Treprostinil,Tréprostinil 
Colestipol,Colestipol 
Trihexyphenidyl,Trihexifenidilo 
Palonosetron,"(3aS)-2-[(3S)-1-azabicyclo[2.2.2]octan-3-yl]-2,3,3a,4,5,6-hexahydro-1H-benzo[de]isoquinolin-1-one "
Dydrogesterone,"(9β,10α)-pregna-4,6-diene-3,20-dione "
Mexiletine,"(±)-1-(2,6-dimethylphenoxy)propan-2-amine "
Dexrazoxane,"(+)-(S)-4,4'-Propylenedi-2,6-piperazinedione "
Amlodipine,"(RS)-3-ethyl 5-methyl 2-[(2-aminoethoxy)methyl]-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate "
Tacrine,"1,2,3,4-tetrahydro-9-acridinamine "
Oxyphencyclimine,Oxifencicliminum 
Triamterene,"6-phenylpteridine-2,4,7-triamine "
Valrubicin,"(8S, 10S)-8-glycoloyl-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-10-[[2,3,6-trideoxy-3-(2,2,2-trifluoroacetamido)-α-L-lyxo-hexopyranosyl]oxy]-5,12-naphthacenedione 8²-valerate "
Procyclidine,1-cyclohexyl-1-phenyl-3-pyrrolidin-1-yl-propan-1-ol hydrochloride 
Phenylephrine,(−)-m-hydroxy-α-(methylaminomethyl)benzyl alcohol 
Carbimazole,Athyromazole 
Digoxin,12β-hydroxydigitoxin 
Sulpiride,(±)-sulpiride 
Profenamine,10-(2-diethylaminopropyl)phenothiazine 
Nimodipine,"2,6-dimethyl-4-(3'-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylic acid 3-β-methoxyethyl ester 5-isopropyl ester "
Beclomethasone dipropionate,"(11β,16β)-9-chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione "
Carisoprodol,"(±)-2-methyl-2-propyl-1,3-propanediol carbamate isopropylcarbamate "
Progesterone,"(S)-4-Pregnene-3,20-dione "
Phenylpropanolamine,(+-)-Norephedrine 
Sorafenib,4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-methyl-2-pyridinecarboxamide 
Zoledronic acid,(1-hydroxy-2-(1H-imidazol-1-yl)ethylidene)bisphosphonic acid 
Griseofulvin,(+)-griseofulvin 
Nisoldipine,"isobutyl methyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate "
Eszopiclone,"(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate "
Ceruletide,Caerulein 
Alprazolam,"8-Chloro-1-methyl-6-phenyl-4H-s-triazolo(4,3-a)(1,4)benzodiazepine "
Dexbrompheniramine,(+)-brompheniraminum 
Gentian violet cation,Crystal Violet 
